HTAG,SHAG,FTAG
4,7,11
6,3,9
5,4,9
7,7,14
3,8,11
9,5,14
3,6,9
8,6,14
7,12,19
6,4,10
3,8,11
7,8,15
11,8,19
5,4,9
2,9,11
5,6,11
10,9,19
6,4,10
